127.0.0.1 - - [16/Jan/2013:22:41:15 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Jan/2013:22:41:16 -0300] "GET /ControlArt/ HTTP/1.1" 200 2902
0:0:0:0:0:0:0:1 - - [16/Jan/2013:22:41:16 -0300] "GET /ControlArt/javax.faces.resource/theme.css.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2013:22:41:16 -0300] "GET /ControlArt/javax.faces.resource/login.css.art;jsessionid=579F3883AA919C91978ADA56DC951B4F?ln=css HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [16/Jan/2013:22:41:16 -0300] "GET /ControlArt/javax.faces.resource/primefaces.js.art;jsessionid=579F3883AA919C91978ADA56DC951B4F?ln=primefaces HTTP/1.1" 200 202000
0:0:0:0:0:0:0:1 - - [16/Jan/2013:22:41:16 -0300] "GET /ControlArt/javax.faces.resource/jquery/jquery.js.art;jsessionid=579F3883AA919C91978ADA56DC951B4F?ln=primefaces HTTP/1.1" 200 326967
0:0:0:0:0:0:0:1 - - [16/Jan/2013:22:41:16 -0300] "GET /ControlArt/javax.faces.resource/primefaces.css.art;jsessionid=579F3883AA919C91978ADA56DC951B4F?ln=primefaces HTTP/1.1" 200 47730
0:0:0:0:0:0:0:1 - - [16/Jan/2013:22:41:16 -0300] "GET /ControlArt/javax.faces.resource/spacer/dot_clear.gif.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2013:22:41:16 -0300] "GET /ControlArt/javax.faces.resource/images/default.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2013:22:41:16 -0300] "GET /ControlArt/resources/image/login_background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2013:22:41:21 -0300] "GET /ControlArt/javax.faces.resource/images/default.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2013:22:41:21 -0300] "GET /ControlArt/javax.faces.resource/images/active.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2013:22:41:23 -0300] "POST /ControlArt/login.art;jsessionid=579F3883AA919C91978ADA56DC951B4F HTTP/1.1" 200 5652
0:0:0:0:0:0:0:1 - - [16/Jan/2013:22:41:23 -0300] "GET /ControlArt/javax.faces.resource/theme.css.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2013:22:41:23 -0300] "GET /ControlArt/javax.faces.resource/primefaces.css.art?ln=primefaces HTTP/1.1" 304 -
