127.0.0.1 - - [12/Jan/2013:19:04:12 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:15 -0300] "GET /ControlArt/ HTTP/1.1" 200 2904
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:15 -0300] "GET /ControlArt/javax.faces.resource/theme.css.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:15 -0300] "GET /ControlArt/javax.faces.resource/login.css.art;jsessionid=CAF9D5D2C13594824964BC28A0FD6C1E?ln=css HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:15 -0300] "GET /ControlArt/javax.faces.resource/primefaces.js.art;jsessionid=CAF9D5D2C13594824964BC28A0FD6C1E?ln=primefaces HTTP/1.1" 200 202000
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:15 -0300] "GET /ControlArt/javax.faces.resource/jquery/jquery.js.art;jsessionid=CAF9D5D2C13594824964BC28A0FD6C1E?ln=primefaces HTTP/1.1" 200 326967
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:15 -0300] "GET /ControlArt/javax.faces.resource/primefaces.css.art;jsessionid=CAF9D5D2C13594824964BC28A0FD6C1E?ln=primefaces HTTP/1.1" 200 47730
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:15 -0300] "GET /ControlArt/resources/image/login_background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:15 -0300] "GET /ControlArt/javax.faces.resource/spacer/dot_clear.gif.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:15 -0300] "GET /ControlArt/javax.faces.resource/images/default.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:27 -0300] "GET /ControlArt/javax.faces.resource/images/default.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:27 -0300] "GET /ControlArt/javax.faces.resource/images/active.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:28 -0300] "POST /ControlArt/login.art;jsessionid=CAF9D5D2C13594824964BC28A0FD6C1E HTTP/1.1" 200 5652
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:28 -0300] "GET /ControlArt/javax.faces.resource/theme.css.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:28 -0300] "GET /ControlArt/javax.faces.resource/primefaces.css.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:28 -0300] "GET /ControlArt/javax.faces.resource/jquery/jquery.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:28 -0300] "GET /ControlArt/javax.faces.resource/primefaces.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:28 -0300] "GET /ControlArt/javax.faces.resource/template.css.art?ln=css HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:28 -0300] "GET /ControlArt/javax.faces.resource/images/header.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:28 -0300] "GET /ControlArt/javax.faces.resource/logo_sistema.png.art?ln=image HTTP/1.1" 200 26461
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:28 -0300] "GET /ControlArt/javax.faces.resource/images/ui-icons_72a7cf_256x240.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:28 -0300] "GET /ControlArt/javax.faces.resource/status_loading.gif.art?ln=image HTTP/1.1" 200 3001
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:33 -0300] "POST /ControlArt/pages/home.art HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:33 -0300] "GET /ControlArt/javax.faces.resource/theme.css.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:33 -0300] "GET /ControlArt/javax.faces.resource/primefaces.css.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:33 -0300] "GET /ControlArt/javax.faces.resource/jquery/jquery.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:33 -0300] "GET /ControlArt/javax.faces.resource/login.css.art?ln=css HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:33 -0300] "GET /ControlArt/javax.faces.resource/primefaces.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:33 -0300] "GET /ControlArt/javax.faces.resource/spacer/dot_clear.gif.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:38 -0300] "POST /ControlArt/login.art HTTP/1.1" 200 5654
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:38 -0300] "GET /ControlArt/javax.faces.resource/primefaces.css.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:38 -0300] "GET /ControlArt/javax.faces.resource/jquery/jquery.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:38 -0300] "GET /ControlArt/javax.faces.resource/theme.css.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:38 -0300] "GET /ControlArt/javax.faces.resource/template.css.art?ln=css HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:38 -0300] "GET /ControlArt/javax.faces.resource/primefaces.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:39 -0300] "GET /ControlArt/javax.faces.resource/status_loading.gif.art?ln=image HTTP/1.1" 200 3001
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:39 -0300] "GET /ControlArt/javax.faces.resource/logo_sistema.png.art?ln=image HTTP/1.1" 200 26461
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:39 -0300] "GET /ControlArt/javax.faces.resource/images/ui-icons_3d80b3_256x240.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:40 -0300] "POST /ControlArt/pages/home.art HTTP/1.1" 200 8739
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:40 -0300] "GET /ControlArt/javax.faces.resource/theme.css.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:40 -0300] "GET /ControlArt/javax.faces.resource/template.css.art?ln=css HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [12/Jan/2013:19:04:40 -0300] "GET /ControlArt/javax.faces.resource/primefaces.css.art?ln=primefaces HTTP/1.1" 304 -
