127.0.0.1 - - [02/Apr/2013:21:11:11 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:00 -0300] "GET /Controlart_Web/javax.faces.resource/theme.css.art?ln=primefaces-afterwork HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:00 -0300] "GET /Controlart_Web/javax.faces.resource/primefaces.css.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:00 -0300] "GET /Controlart_Web/javax.faces.resource/primefaces.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:00 -0300] "GET /Controlart_Web/javax.faces.resource/jquery/jquery.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:00 -0300] "GET /Controlart_Web/javax.faces.resource/template.css.art?ln=css HTTP/1.1" 200 1285
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:00 -0300] "GET /Controlart_Web/javax.faces.resource/logo_sistema.png.art?ln=image HTTP/1.1" 200 10468
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:00 -0300] "GET /Controlart_Web/javax.faces.resource/favicon.ico.art?ln=image HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:00 -0300] "GET /Controlart_Web/javax.faces.resource/status_loading.gif.art?ln=image HTTP/1.1" 200 3001
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:02 -0300] "POST /Controlart_Web/pages/relatorioPecasAcervo.art HTTP/1.1" 200 22030
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:02 -0300] "GET /Controlart_Web/javax.faces.resource/theme.css.art?ln=primefaces-afterwork HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:02 -0300] "GET /Controlart_Web/javax.faces.resource/primefaces.css.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:02 -0300] "GET /Controlart_Web/javax.faces.resource/jquery/jquery.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:02 -0300] "GET /Controlart_Web/javax.faces.resource/acervo.css.art?ln=css HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:02 -0300] "GET /Controlart_Web/javax.faces.resource/primefaces.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:02 -0300] "GET /Controlart_Web/javax.faces.resource/template.css.art?ln=css HTTP/1.1" 200 1285
0:0:0:0:0:0:0:1 - - [02/Apr/2013:21:16:02 -0300] "GET /Controlart_Web/javax.faces.resource/logo_sistema.png.art?ln=image HTTP/1.1" 200 10468
